url,country,format,name,language,logo
https://cap-sources.s3.amazonaws.com/cr-imn-en/rss.xml,CRI,rss,Instituto Meteorológico Nacional,en,https://alert-hub.s3.amazonaws.com/images/cr-imn-en.png
https://cap-sources.s3.amazonaws.com/cr-imn-es/rss.xml,CRI,rss,Instituto Meteorológico Nacional,es,https://alert-hub.s3.amazonaws.com/images/cr-imn-en.png
https://cap-sources.s3.amazonaws.com/ec-inamhi-es/rss.xml,ECU,rss,Instituto Nacional de Meteorología e Hidrología,es,https://alert-hub.s3.amazonaws.com/images/ec-inamhi-es.png
https://cap-sources.s3.amazonaws.com/eg-ema-ar/rss.xml,EGY,rss,Egyptian Meteorological Authority,ar,https://alert-hub.s3.amazonaws.com/images/eg-ema-ar.png
https://cap-sources.s3.amazonaws.com/eg-ema-en/rss.xml,EGY,rss,Egyptian Meteorological Authority,en,https://alert-hub.s3.amazonaws.com/images/eg-ema-ar.png
https://cap-sources.s3.amazonaws.com/ir-irimo-fa/rss.xml,IRN,rss,Iran Meteorological Organization,fa,https://alert-hub.s3.amazonaws.com/images/ir-irimo-fa.png
https://cap-sources.s3.amazonaws.com/iq-imos-ar/rss.xml,IRQ,rss,Iraq Meteorological Organization,ar,https://alert-hub.s3.amazonaws.com/images/iq-imos-ar.png
https://cap-sources.s3.amazonaws.com/bw-met-en/rss.xml,BWA,rss,Meteorological Services,en,https://alert-hub.s3.amazonaws.com/images/bw-met-en.png
https://cap-sources.s3.amazonaws.com/py-dmh-es/rss.xml,PRY,rss,Departamento de Meteorología e Hidrología,es,https://alert-hub.s3.amazonaws.com/images/py-dmh-es.png
https://cap-sources.s3.amazonaws.com/ly-nmc-en/rss.xml,LBY,rss,National Meteorological Center,en,https://alert-hub.s3.amazonaws.com/images/ly-nmc-en.png
https://cap-sources.s3.amazonaws.com/zm-zmd-en/rss.xml,ZMB,rss,Zambia Meteorological Department,en,https://alert-hub.s3.amazonaws.com/images/zm-zmd-en.png
https://cap-sources.s3.amazonaws.com/zw-msd-en/rss.xml,ZWE,rss,Meteorological Services Department,en,https://alert-hub.s3.amazonaws.com/images/zw-msd-en.png
https://cap-sources.s3.amazonaws.com/ne-meteo-fr/rss.xml,NER,rss,Direction de la Météorologie Nationale,fr,https://alert-hub.s3.amazonaws.com/images/ne-meteo-fr.png
https://cap-sources.s3.amazonaws.com/ci-sodexam-fr/rss.xml,CIV,rss,Société d'Exploitation et de Développement Aéroportuaire,fr,https://alert-hub.s3.amazonaws.com/images/ci-sodexam-fr.png
https://cap-sources.s3.amazonaws.com/ml-meteo-fr/rss.xml,MLI,rss,Direction Nationale de la Météorologie,fr,https://alert-hub.s3.amazonaws.com/images/ml-meteo-fr.png
https://cap-sources.s3.amazonaws.com/gn-dnm-fr/rss.xml,GIN,rss,Direction Nationale de la Météorologie,fr,https://alert-hub.s3.amazonaws.com/images/gn-dnm-fr.png
https://cap-sources.s3.amazonaws.com/gw-inm-fr/rss.xml,GNB,rss,Instituto Nacional de Meteorologia,fr,https://alert-hub.s3.amazonaws.com/images/gw-inm-fr.png
https://cap-sources.s3.amazonaws.com/dj-meteo-fr/rss.xml,DJI,rss,Direction de la Météorologie Nationale,fr,https://alert-hub.s3.amazonaws.com/images/dj-meteo-fr.png
https://cap-sources.s3.amazonaws.com/ec-inamhi-es/rss.xml,ECU,rss,Instituto Nacional de Meteorología e Hidrología,es,https://alert-hub.s3.amazonaws.com/images/ec-inamhi-es.png
https://api.weather.gov/alerts/active,USA,nws_us,US National Weather Service,en-US,https://alert-hub.s3.amazonaws.com/images/us-noaa-nws-en.png
https://meteoinfo.ru/hmc-output/cap/cap-feed/en/atom.xml,RUS,atom,Hydrometcenter of Russia,en,https://alert-hub.s3.amazonaws.com/images/ru-roshydromet-en.png
https://meteoinfo.ru/hmc-output/cap/cap-feed/ru/atom.xml,RUS,atom,Гидрометцентр России / Росгидромет,ru,https://alert-hub.s3.amazonaws.com/images/ru-roshydromet-en.png
https://www.inumet.gub.uy/reportes/riesgo/rss.xml,URY,rss,Instituto Uruguayo de Meteorología,es,https://alert-hub.s3.amazonaws.com/images/uy-inumet-es.png
https://environment.data.gov.uk/cap/flood-alerts.atom,GBR,atom,UK Environment Agency,gb,en-GB,https://alert-hub.s3.amazonaws.com/images/uk-env-en.png
https://signature.bmkg.go.id/alert/public/rss.xml,IDN,rss,Badán Klimatologi dan Geofisika Meteorologi,id,https://alert-hub.s3.amazonaws.com/images/id-bmkg-id.png
https://signature.bmkg.go.id/alert/public/en/rss.xml,IDN,rss,Agency for Meteorology Climatology and Geophysics,en,https://alert-hub.s3.amazonaws.com/images/id-bmkg-id.png
https://apiprevmet3.inmet.gov.br/avisos/rss,BRA,rss,Instituto Nacional de Meteorologia,pt-BR,https://alert-hub.s3.amazonaws.com/images/br-inmet-pt.png
http://publicalert.pagasa.dost.gov.ph/feeds/,PHL,rss,Philippine Atmospheric Geophysical and Astronomical Services Administration,en,https://alert-hub.s3.amazonaws.com/images/ph-pagasa-en.png
https://ncm.gov.sa/Ar/alert/Pages/feedalerts.aspx,SAU,rss,National Center for Meteorology,en,https://alert-hub.s3.amazonaws.com/images/sa-ncm-en.png
https://www.tmd.go.th/api/xml/CAP,THA,rss,Thailand Meteorological Department,th-TH,https://alert-hub.s3.amazonaws.com/images/th-tmd-th.png
https://www.tmd.go.th/en/api/xml/CAP,rss,Thailand Meteorological Department,en-US,https://alert-hub.s3.amazonaws.com/images/th-tmd-th.png
https://alerts.weather.gov.hk/V1/cap_atom.xml,HKG,atom,Hong Kong Observatory,en,https://alert-hub.s3.amazonaws.com/images/cn-hko-en.png
